Group,ID,BarCode,Type,Brand,Line,Unnamed: 6,New arrivals,QTY,EUR,BGN,Best Price,Unnamed: 12,Our Price,Image 1,Image 2,Image 3,Image 4,Image 5,Video,1. Captivating Headline or Tagline,2. Sensory Introduction (1–2 sentences),3. Key Features or Ingredients (Bullet Points or Icons),4. How to Use (Optional but useful),5. Emotional or Lifestyle Hook,6. Tech Specs or Product Facts,FAQ,7. SEO Keywords (Behind-the-scenes),✅ Tips for Beauty Product Pages
Парфюми ,34600,3770000002782.0,Clean EU,Juliette has a gun,Juliette Has A Gun Not A Perfume (L) EDP 50ml,,New,240,€33.25,lev65.03,lev83.20,,84.54 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,36310,3274872424999.0,Clean EU,Givenchy,Givenchy Gentleman (M) EDT 60ml,,,11,€33.50,lev65.52,lev89.00,,85.18,,,,,,,,,,,,,,,
Aftershave,29789,8435415012720.0,Deco,JPG,JPG Le Male (M) ASL 125ml,,,36,€33.50,lev65.52,lev107.09,,101.74,,,,,,,,,,,,,,,
Парфюми ,29457,3760260451642.0,Tester,Montale,Montale Chocolate Greedy (U) EDP 100ml Tester,,,16,€33.50,lev65.52,lev109.00,,103.55,,,,,,,,,,,,,,,
Парфюми ,42050,3605972910240.0,CLN,Ralph Lauren,Ralph Lauren Polo 67 (M) EDT 125ml,,,18,€33.50,lev65.52,lev99.00,,94.05,,,,,,,,,,,,,,,
Парфюми ,37778,3605521515346.0,CLN,Viktor & Rolf,V&R Spicebomb (M) EDT 90ml,,,120,€33.50,lev65.52,lev174.30,,117.93,,,,,,,,,,,,,,,
Парфюми ,29331,8011003823581.0,Tester,Versace,Versace Eros (L) EDP Tester 100ml,,,120,€33.50,lev65.52,lev96.00,,91.20,,,,,,,,,,,,,,,
Парфюми ,27176,8011003995967.0,CLN,Versace,Versace Pour Homme (M) EDT 100ml,,,360,€33.50,lev65.52,lev94.90,,90.16,,,,,,,,,,,,,,,
Парфюми ,42162,3423222048310.0,Clean EU,Zadig & Voltaire,Zadig & Voltaire This is Her! Vibes of Freedom (L) EDP 100ml,,New_,12,€33.50,lev65.52,lev115.80,,110.01,,,,,,,,,,,,,,,
Парфюми ,36219,3423474896257.0,Clean EU,Zadig & Voltaire,Zadig & Voltaire This Is Him (M) EDT 100ml,,New_,24,€33.50,lev65.52,lev92.10,,87.50,,,,,,,,,,,,,,,
Грижа за кожата,41927,4020829103108.0,Clean EU,Dr. Hauschka,Dr. Hauschka Regenerating Serum 30ml,,,141,€33.70,lev65.91,lev85.90,,85.68,,,,,,,,,,,,,,,
Парфюми ,4186,3605521879905.0,Clean EU,Viktor & Rolf,V&R Bonbon (L) EDP 50ml,,,146,€33.90,lev66.30,lev87.80,,86.19,,,,,,,,,,,,,,,
Парфюми ,34840,7640233340110.0,Clean EU,Elie Saab,Elie Saab Le Parfum In White (L) EDP 50ml,,,27,€34.00,lev66.50,lev74.70,,86.45 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,40674,8435415059084.0,Deco,JPG,JPG Scandal (L) EDP 30ml,,,16,€34.00,lev66.50,lev97.90,,93.01,,,,,,,,,,,,,,,
Парфюми ,34598,3760022730268.0,Clean EU,Juliette has a gun,Juliette Has A Gun Mmmm… (L) EDP 50ml,,New,36,€34.00,lev66.50,lev81.30,,86.45 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,41769,7640233342077.0,Tester,Elie Saab,Elie Saab Elixir Love (L) EDP 100ml Tester,,,7,€34.50,lev67.48,lev89.00,,87.72,,,,,,,,,,,,,,,
Парфюми ,33263,7640233341094.0,Tester,Elie Saab,Elie Saab Girl Of Now Lovely (L) EDP 90ml Tester,,,30,€34.50,lev67.48,lev63.99,,87.72 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,41768,7640233342480.0,Tester,Elie Saab,Elie Saab Girl Of Now Rose Petal (L) EDP 90ml Tester,,,26,€34.50,lev67.48,lev99.00,,94.05,,,,,,,,,,,,,,,
Парфюми ,40601,7640233341735.0,Tester,Elie Saab,Elie Saab Le Parfum Bridal (L) EDP 90ml Tester,,,45,€34.50,lev67.48,lev87.99,,87.72,,,,,,,,,,,,,,,
Парфюми ,40663,3349668599424.0,Deco,Paco Rabanne,Paco Rabanne Olympea Solar (L) EDP 30ml,,,12,€34.50,lev67.48,lev99.90,,94.91,,,,,,,,,,,,,,,
Парфюми ,37261,8011003845514.0,Tester,Versace,Versace Eros Flame (M) EDP 100ml Tester,,,210,€34.50,lev67.48,lev89.99,,87.72,,,,,,,,,,,,,,,
Парфюми ,37735,3423222086640.0,Clean EU,Zadig & Voltaire,Zadig & Voltaire This is Her! Undressed (L) EDP 100ml,,New_,12,€34.50,lev67.48,lev107.00,,101.65,,,,,,,,,,,,,,,
Грижа за кожата,30815,768614149545.0,CLN,Shiseido,Shiseido Benefiance Wrinkle Smoothing Cream Enriched 50ml,,,270,€34.50,lev67.48,lev105.10,,99.85,,,,,,,,,,,,,,,
Парфюми ,32106,3346130009610.0,Deco,Hermes,Hermes Terre D Hermes (M) EDT 50ml,,,120,€34.90,lev68.26,lev107.85,,102.46,,,,,,,,,,,,,,,
Парфюми ,31845,3386460119283.0,Tester,Jimmy Choo,Jimmy Choo I Want Choo (L) EDP 125ml Tester,,,24,€34.90,lev68.26,lev105.00,,99.75,,,,,,,,,,,,,,,
Продукти за тяло,39404,690251040377.0,Clean EU,Jo Malone,Jo Malone English Pear & Freesia Body And Hand Lotion 250ml,,,40,€34.90,lev68.26,lev133.00,,122.86,,,,,,,,,,,,,,,
Парфюми ,39889,3614274222142.0,Clean EU,Armani,Armani Emporio Armani He (M) EDT 100ml,,,480,€34.95,lev68.36,lev99.80,,94.81,,,,,,,,,,,,,,,
Парфюми ,39167,8011003811212.0,Tester,Versace,Versace Oud Noir Pour Homme (M) EDP Tester 100ml,,,79,€34.95,lev68.36,lev89.99,,88.86,,,,,,,,,,,,,,,
Парфюми ,38390,3614273903172.0,CLN,Azzaro,Azzaro Wanted (M) EDP 100ml,,,480,€35.00,lev68.45,lev102.00,,96.90,,,,,,,,,,,,,,,
Парфюми ,27965,3760260452595.0,Tester,Montale,Montale Jasmin Full (U) EDP 100ml Tester,,,10,€35.00,lev68.45,lev97.00,,92.15,,,,,,,,,,,,,,,
Грижа за кожата,33211,768614163794.0,Clean EU,Shiseido,Shiseido Vital Perfection Uplifting And Firming Eye Cream 15ml,,,480,€35.00,lev68.45,lev104.59,,99.36,,,,,,,,,,,,,,,
Парфюми ,33184,737052339207.0,Clean EU,Gucci,Gucci Guilty (M) EDT 50ml,,,83,€35.50,lev69.43,lev107.00,,101.65,,,,,,,,,,,,,,,
Парфюми ,37372,3274872427204.0,CLN,Kenzo,Kenzo Flower By Kenzo (L) EDP 100ml Refillable,,,600,€35.50,lev69.43,lev105.50,,100.23,,,,,,,,,,,,,,,
Парфюми ,42160,3423222108267.0,CLN,Narciso Rodriguez,Narciso Rodriguez All Of Me Intense (L) EDP 50ml,,New_,12,€35.50,lev69.43,lev158.95,,124.98,,,,,,,,,,,,,,,
Парфюми ,27143,8011003825745.0,CLN,Versace,Versace Dylan Blue Pour Homme (M) EDT 100ml,,,480,€35.50,lev69.43,lev91.90,,90.26,,,,,,,,,,,,,,,
Парфюми ,27108,8011003804566.0,CLN,Versace,Versace Yellow Diamond (L) EDT 90ml,,,329,€35.75,lev69.92,lev93.30,,90.90,,,,,,,,,,,,,,,
Грижа за кожата,9090,768614149538.0,Clean EU,Shiseido,Shiseido Benefiance Wrinkle Smoothing Cream 50ml,,New,120,€35.90,lev70.21,lev125.40,,119.13,,,,,,,,,,,,,,,
Парфюми ,39098,3351500016617.0,CLN,Azzaro,Azzaro Wanted (M) EDT 100ml,,,360,€36.00,lev70.41,lev87.30,,91.53 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,41382,20714711740.0,Clean EU,Clinique,Clinique Aromatics In White (L) EDP 100ml,,,360,€36.00,lev70.41,lev103.00,,97.85,,,,,,,,,,,,,,,
Парфюми ,41827,8057971183807.0,Clean EU,D&G,D&G Dolce Violet (L) EDT 75ml,,,7,€36.00,lev70.41,lev82.90,,91.53 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,37807,3614273673372.0,Tester,Mugler,Mugler Alien Goddess Intense (L) EDP 60ml Tester,,,177,€36.00,lev70.41,lev98.99,,94.04,,,,,,,,,,,,,,,
Грижа за кожата,34945,729238163805.0,Clean EU,Shiseido,Shiseido Vital Perfection Uplifting And Firming Express Eye Mask 2 Patch X 12,,,195,€36.00,lev70.41,lev161.05,,126.74,,,,,,,,,,,,,,,
Парфюми ,34553,8411061994702.0,Deco,Carolina Herrera,Carolina Herrera 212 Heroes Forever Young (L) EDP 50ml,,,57,€36.50,lev71.39,lev109.00,,103.55,,,,,,,,,,,,,,,
Парфюми ,27607,8411061865583.0,CLN,Carolina Herrera,Carolina Herrera 212 Sexy Men (M) EDT 100ml,,,411,€36.50,lev71.39,lev114.80,,109.06,,,,,,,,,,,,,,,
Парфюми ,22814,8411061926093.0,Deco,Carolina Herrera,Carolina Herrera Bad Boy (M) EDT 50ml,,,43,€36.50,lev71.39,lev98.00,,93.10,,,,,,,,,,,,,,,
Парфюми ,40385,8057971180042.0,Clean EU,D&G,D&G Dolce Shine (L) EDP 75ml,,,90,€36.50,lev71.39,lev89.90,,92.80 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,34847,7640233340066.0,Clean EU,Elie Saab,Elie Saab Le Parfum Essentiel (L) EDP 90ml,,,39,€36.50,lev71.39,lev79.99,,92.80 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,34843,7640233340721.0,Clean EU,Elie Saab,Elie Saab Le Parfum Lumiere (L) EDP 90ml,,,8,€36.50,lev71.39,lev100.50,,95.48,,,,,,,,,,,,,,,
Парфюми ,37573,690251026098.0,Clean EU,Jo Malone,Jo Malone Blackberry & Bay Cologne 30ml,,,184,€36.50,lev71.39,lev112.80,,107.16,,,,,,,,,,,,,,,
Парфюми ,37571,690251019090.0,Clean EU,Jo Malone,Jo Malone English Pear & Freesia Cologne 30ml,,,180,€36.50,lev71.39,lev106.80,,101.46,,,,,,,,,,,,,,,
Парфюми ,39541,690251145607.0,Clean EU,Jo Malone,Jo Malone English Pear & Sweet Pea Cologne 30ml,,,47,€36.50,lev71.39,lev110.20,,104.69,,,,,,,,,,,,,,,
Парфюми ,37578,690251063260.0,Clean EU,Jo Malone,Jo Malone Honeysuckle & Davana Cologne 30ml,,,99,€36.50,lev71.39,lev141.00,,128.50,,,,,,,,,,,,,,,
Парфюми ,37566,690251000036.0,Clean EU,Jo Malone,Jo Malone Lime Basil & Mandarin Cologne 30ml,,,216,€36.50,lev71.39,lev104.70,,99.47,,,,,,,,,,,,,,,
Парфюми ,37576,690251042302.0,Clean EU,Jo Malone,Jo Malone Mimosa & Cardamom Cologne 30ml,,,99,€36.50,lev71.39,lev112.80,,107.16,,,,,,,,,,,,,,,
Парфюми ,37570,690251009008.0,Clean EU,Jo Malone,Jo Malone Nectarine Blossom & Honey Cologne 30ml,,,94,€36.50,lev71.39,lev102.50,,97.38,,,,,,,,,,,,,,,
Парфюми ,37569,690251006564.0,Clean EU,Jo Malone,Jo Malone Orange Blossom Cologne 30ml,,,93,€36.50,lev71.39,lev141.00,,128.50,,,,,,,,,,,,,,,
Парфюми ,37574,690251028405.0,Clean EU,Jo Malone,Jo Malone Peony & Blush Suede Cologne 30ml,,,110,€36.50,lev71.39,lev112.80,,107.16,,,,,,,,,,,,,,,
Парфюми ,37567,690251009435.0,Clean EU,Jo Malone,Jo Malone Pomegranate Noir Cologne 30ml,,,26,€36.50,lev71.39,lev141.00,,128.50,,,,,,,,,,,,,,,
Парфюми ,37579,690251082803.0,Clean EU,Jo Malone,Jo Malone Poppy & Barley Cologne 30ml,,,148,€36.50,lev71.39,lev103.30,,98.14,,,,,,,,,,,,,,,
Парфюми ,37572,690251021741.0,Clean EU,Jo Malone,Jo Malone Wild Bluebell Cologne 30ml,,,172,€36.50,lev71.39,lev101.90,,96.81,,,,,,,,,,,,,,,
Парфюми ,37575,690251033720.0,Clean EU,Jo Malone,Jo Malone Wood Sage & Sea Salt Cologne 30ml,,,360,€36.50,lev71.39,lev97.80,,92.91,,,,,,,,,,,,,,,
Парфюми ,27983,3760260450744.0,Tester,Montale,Montale Aoud Flowers (M) EDP 100ml Tester,,,10,€36.50,lev71.39,lev89.00,,92.80 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,22857,8435137759811.0,Deco,Prada,Prada Luna Rossa Carbon (M) EDT 50ml,,,400,€36.50,lev71.39,lev107.00,,101.65,,,,,,,,,,,,,,,
Парфюми ,37447,3386460082112.0,Clean EU,Rochas,Rochas Eau De Rochas (L) EDT 220ml,,,60,€36.50,lev71.39,lev120.80,,114.76,,,,,,,,,,,,,,,
Парфюми ,29347,8011003997831.0,Tester,Versace,Versace Crystal Noir (L) EDP 90ml Tester,,,52,€36.50,lev71.39,lev108.99,,103.54,,,,,,,,,,,,,,,
Парфюми ,41392,8054754400649.0,Clean EU,D&G,D&G Q (L) Set EDP 50ml + EDP 5ml,,,203,€36.90,lev72.17,lev177.00,,129.90,,,,,,,,,,,,,,,
Парфюми ,37634,7640233341070.0,Clean EU,Elie Saab,Elie Saab Girl Of Now Lovely (L) EDP 90ml,,,45,€36.90,lev72.17,lev99.00,,94.05,,,,,,,,,,,,,,,
Парфюми ,35366,7640233340196.0,Clean EU,Elie Saab,Elie Saab Girl Of Now (L) EDP 90ml,,,11,€37.00,lev72.36,lev100.10,,95.10,,,,,,,,,,,,,,,
Парфюми ,36320,7640233340226.0,Clean EU,Elie Saab,Elie Saab Girl Of Now Forever (L) EDP 90ml,,,140,€37.00,lev72.36,lev117.90,,112.01,,,,,,,,,,,,,,,
Парфюми ,31907,3386460119252.0,CLN,Jimmy Choo,Jimmy Choo I Want Choo (L) EDP 100ml,,,180,€37.00,lev72.36,lev109.80,,104.31,,,,,,,,,,,,,,,
Парфюми ,35901,3386460108768.0,Clean EU,Jimmy Choo,Jimmy Choo Man Intense (M) EDT 200ml,,,270,€37.00,lev72.36,lev119.00,,113.05,,,,,,,,,,,,,,,
Парфюми ,29392,8411061778296.0,Tester,Carolina Herrera,Carolina Herrera 212 Vip Rose (L) EDP 80ml Tester,,,6,€37.50,lev73.34,lev112.20,,106.59,,,,,,,,,,,,,,,
Парфюми ,39910,7640233341711.0,Clean EU,Elie Saab,Elie Saab Le Parfum Bridal (L) EDP 90ml,,,2,€37.50,lev73.34,lev113.99,,108.29,,,,,,,,,,,,,,,
Парфюми ,36317,7640233340097.0,Clean EU,Elie Saab,Elie Saab Le Parfum Royal (L) EDP 90ml,,,48,€37.50,lev73.34,lev119.70,,113.72,,,,,,,,,,,,,,,
Парфюми ,30181,3760265191406.0,Tester,Mancera,Mancera Pink Prestigium (L) EDP 120ml Tester,,,3,€37.50,lev73.34,lev135.00,,128.25,,,,,,,,,,,,,,,
Парфюми ,37291,3439600040920.0,Clean EU,Mugler,Mugler Angel (L) EDT 50ml,,,42,€37.50,lev73.34,lev109.00,,103.55,,,,,,,,,,,,,,,
Парфюми ,40027,3614273478748.0,Deco,Prada,Prada Luna Rossa (M) EDT 50ml,,,54,€37.50,lev73.34,lev101.30,,96.24,,,,,,,,,,,,,,,
Парфюми ,39104,3360377002968.0,CLN,Ralph Lauren,Ralph Lauren Romance (L) EDP 100ml,,,120,€37.50,lev73.34,lev97.60,,95.35,,,,,,,,,,,,,,,
Парфюми ,27115,8011003809219.0,CLN,Versace,Versace Eros (M) EDT 100ml,,,360,€37.50,lev73.34,lev99.00,,95.35,,,,,,,,,,,,,,,
Candle,39552,690251131143.0,Clean EU,Jo Malone,Jo Malone Myrrh & Tonka Home Candle 200g,,,23,€37.50,lev73.34,lev135.00,,128.25,,,,,,,,,,,,,,,
Грижа за кожата,34815,768614166597.0,Clean EU,Shiseido,Shiseido Benefiance Overnight Wrinkle Resisting Cream 50ml,,,480,€37.50,lev73.34,lev111.30,,105.74,,,,,,,,,,,,,,,
Грижа за кожата,30816,768614149521.0,Clean EU,Shiseido,Shiseido Benefiance Wrinkle Smoothing Day Emulsion SPF20 75ml,,,240,€37.50,lev73.34,lev103.30,,98.14,,,,,,,,,,,,,,,
Парфюми ,42165,3274872406216.0,CLN,Kenzo,Kenzo Flower By Kenzo Poppy Bouquet Florale (L) EDP 100ml,,New_,12,€37.90,lev74.12,lev108.80,,103.36,,,,,,,,,,,,,,,
Грижа за кожата,9089,768614149514.0,Clean EU,Shiseido,Shiseido Benefiance Wrinkle Smoothing Day Cream SPF25 50ml,,,600,€37.90,lev74.12,lev119.90,,113.91,,,,,,,,,,,,,,,
Парфюми ,41831,8057971180936.0,Tester,D&G,D&G The One (L) EDP 75ml Tester,,,8,€38.00,lev74.32,lev99.99,,96.62,,,,,,,,,,,,,,,
Парфюми ,34838,7640233340257.0,Clean EU,Elie Saab,Elie Saab Girl Of Now Shine (L) EDP 90ml,,,110,€38.00,lev74.32,lev105.00,,99.75,,,,,,,,,,,,,,,
Парфюми ,33309,8055118032124.0,Clean EU,Masque Milano,Masque Milano Love Kills (U) EDP 35ml,,,5,€38.00,lev74.32,lev330.70,,133.78,,,,,,,,,,,,,,,
Парфюми ,41651,850049716369.0,Tester,Michael Kors,Michael Kors Pour Femme (L) EDP 100ml Tester,,,105,€38.00,lev74.32,lev146.80, (не е тестер),133.78,,,,,,,,,,,,,,,
Парфюми ,21229,3349668568093.0,Deco,Paco Rabanne,Paco Rabanne Olympea (L) EDP 50ml,,,9,€38.00,lev74.32,lev111.00,,105.45,,,,,,,,,,,,,,,
Парфюми ,34589,3760022730664.0,Clean EU,Juliette has a gun,Juliette Has A Gun Moscow Mule (U) EDP 100ml,,New,42,€38.50,lev75.30,lev104.60,,99.37,,,,,,,,,,,,,,,
Парфюми ,37168,3607342221161.0,Clean EU,Marc Jacobs,Marc Jacobs Daisy So Fresh (L) EDT 75ml,,,10,€38.50,lev75.30,lev88.00,,97.89 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,41650,850049716314.0,CLN,Michael Kors,Michael Kors Pour Femme (L) EDP 50ml,,,42,€38.50,lev75.30,lev105.00,,99.75,,,,,,,,,,,,,,,
Парфюми ,22851,8435137749591.0,Deco,Prada,Prada L Homme (M) EDT 50ml,,,157,€38.50,lev75.30,lev104.00,,98.80,,,,,,,,,,,,,,,
Парфюми ,40031,3614273556187.0,Deco,Prada,Prada Luna Rossa Ocean (M) EDT 50ml,,,41,€38.50,lev75.30,lev113.90,,108.21,,,,,,,,,,,,,,,
Грижа за кожата,24336,768614103202.0,CLN,Shiseido,Shiseido Bio-Performance Advanced Super Revitalizing Cream 50ml,,,112,€38.50,lev75.30,lev125.80,,119.51,,,,,,,,,,,,,,,
Парфюми ,41975,8054754403282.0,CLN,D&G,D&G K (M) EDP 100ml,,New_,36,€38.75,lev75.79,lev116.80,,110.96,,,,,,,,,,,,,,,
Парфюми ,38878,3760022733146.0,Clean EU,Juliette has a gun,Juliette Has A Gun Lily Fantasy (L) EDP 100ml,,New,9,€39.00,lev76.28,lev108.10,,102.70,,,,,,,,,,,,,,,
Парфюми ,35556,3614227086029.0,Clean EU,Marc Jacobs,Marc Jacobs Perfect (L) EDP 50ml,,,116,€39.00,lev76.28,lev101.00,,99.16,,,,,,,,,,,,,,,
Парфюми ,42166,3614272731943.0,Clean EU,Valentino,Valentino Donna (L) EDP 30ml,,New_,24,€39.00,lev76.28,lev139.20,,132.24,,,,,,,,,,,,,,,
Парфюми ,40295,8011003811410.0,CLN,Versace,Versace Yellow Diamond (L) Set EDT 90ml + BL 100ml,,,273,€39.00,lev76.28,lev135.99,,129.19,,,,,,,,,,,,,,,
Парфюми ,31966,3760260455657.0,Tester,Montale,Montale Diamond Rose (L) EDP 100ml Tester,,,2,€39.30,lev76.86,lev117.00,,111.15,,,,,,,,,,,,,,,
Парфюми ,40039,3614274131406.0,Tester,Azzaro,Azzaro The Most Wanted Intense (M) EDT 100ml Tester,,,60,€39.50,lev77.25,lev118.99,,113.04,,,,,,,,,,,,,,,
Парфюми ,40670,8411061043868.0,Deco,Carolina Herrera,Carolina Herrera 212 Men NYC (M) EDT 100ml,,,188,€39.50,lev77.25,lev122.70,,116.57,,,,,,,,,,,,,,,
Парфюми ,41275,8057971182060.0,Clean EU,D&G,D&G Dolce Rose (L) EDT 75ml,,,12,€39.50,lev77.25,lev89.50,,100.43 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,35902,3386460129879.0,CLN,Jimmy Choo,Jimmy Choo I Want Choo Forever (L) EDP 100ml,,New,33,€39.50,lev77.25,lev117.00,,111.15,,,,,,,,,,,,,,,
Парфюми ,34583,3770000002904.0,Clean EU,Juliette has a gun,Juliette Has A Gun Anyway (U) EDP 100ml,,New,35,€39.50,lev77.25,lev103.60,,100.43,,,,,,,,,,,,,,,
Парфюми ,35232,3770000002546.0,Clean EU,Juliette has a gun,Juliette Has A Gun Gentlewoman (L) EDP 100ml,,,42,€39.50,lev77.25,lev100.00,,100.43 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,38879,3760022731753.0,Clean EU,Juliette has a gun,Juliette Has A Gun Lipstick Fever (L) EDP 100ml,,New,48,€39.50,lev77.25,lev101.20,,100.43,,,,,,,,,,,,,,,
Парфюми ,34587,3770000002713.0,Clean EU,Juliette has a gun,Juliette Has A Gun Miss Charming (L) EDP 100ml,,New,23,€39.50,lev77.25,lev111.20,,105.64,,,,,,,,,,,,,,,
Парфюми ,34588,3760022730251.0,Clean EU,Juliette has a gun,Juliette Has A Gun Mmmm… (L) EDP 100ml,,New,101,€39.50,lev77.25,lev112.80,,107.16,,,,,,,,,,,,,,,
Парфюми ,34592,3760022730466.0,Clean EU,Juliette has a gun,Juliette Has A Gun Sunny Side Up (L) EDP 100ml,,New,24,€39.50,lev77.25,lev132.47,,125.85,,,,,,,,,,,,,,,
Парфюми ,30183,3760265191840.0,Tester,Mancera,Mancera Purple Flowers (L) EDP 120ml Tester,,,3,€39.50,lev77.25,lev105.00,,100.43,,,,,,,,,,,,,,,
Парфюми ,32294,3760260451642.0,CLN,Montale,Montale Chocolate Greedy (U) EDP 100ml,,,353,€39.50,lev77.25,lev119.90,,113.91,,,,,,,,,,,,,,,
Парфюми ,36287,3423222055615.0,Clean EU,Narciso Rodriguez,Narciso Rodriguez Narciso Cristal (L) EDP 50ml,,,116,€39.50,lev77.25,lev104.99,,100.43,,,,,,,,,,,,,,,
Парфюми ,40662,3349668614462.0,Deco,Paco Rabanne,Paco Rabanne Olympea Flora (L) EDP 50ml,,,13,€39.50,lev77.25,lev104.00,,100.43,,,,,,,,,,,,,,,
Парфюми ,41573,3349668599448.0,CLN,Paco Rabanne,Paco Rabanne Olympea Solar (L) EDP 50ml,,,13,€39.50,lev77.25,lev89.30,,100.43 ⚠️ Too Low!,,,,,,,,,,,,,,,
Candle,39554,690251131136.0,Clean EU,Jo Malone,Jo Malone Oud & Bergamot Home Candle 200g,,,6,€39.50,lev77.25,lev148.00,,139.06,,,,,,,,,,,,,,,
Парфюми ,41256,737052488257.0,Clean EU,Boss,Boss Bottled Night (M) EDT 200ml,,,720,€39.90,lev78.04,lev108.00,,102.60,,,,,,,,,,,,,,,
Парфюми ,40505,3346130422488.0,CLN,Hermes,Hermes Tutti Twilly D Hermes (L) EDP 50ml,,,15,€39.90,lev78.04,lev105.90,,101.45,,,,,,,,,,,,,,,
Парфюми ,42170,3360372013648.0,CLN,Ralph Lauren,Ralph Lauren Safari (M) EDP 125ml,,New,36,€39.90,lev78.04,lev106.00,,101.45,,,,,,,,,,,,,,,
Парфюми ,37742,3349668555062.0,CLN,Paco Rabanne,Paco Rabanne Black XS (L) EDP 80ml,,,60,€40.25,lev78.72,lev99.60,,102.34 ⚠️ Too Low!,,,,,,,,,,,,,,,
Грижа за кожата,30821,768614155805.0,Clean EU,Shiseido,Shiseido Wrinkle Smoothing Contour Serum 30ml,,New,18,€40.50,lev79.21,lev116.56,,110.73,,,,,,,,,,,,,,,
Парфюми ,40262,8011003889419.0,Clean EU,Moschino,Moschino Toy 2 (L) Set EDP 100ml + BL 100ml + EDP 10ml,,,14,€40.90,lev79.99,lev115.00,,109.25,,,,,,,,,,,,,,,
Грижа за кожата,9094,768614191100.0,Clean EU,Shiseido,Shiseido Benefiance Nutriperfect Day Cream SPF15 50ml,,,600,€40.90,lev79.99,lev139.00,,132.05,,,,,,,,,,,,,,,
Aftershave,13001,3348901419161.0,Clean EU,Dior,Dior Homme (M) ASL 100ml,,,34,€41.00,lev80.19,lev119.00,,113.05,,,,,,,,,,,,,,,
Парфюми ,36409,3346130000020.0,Clean EU,Hermes,Hermes Eau De Basilic Pourpre (U) EDC 100ml,,,14,€41.00,lev80.19,lev117.10,,111.25,,,,,,,,,,,,,,,
Парфюми ,34590,3770000002775.0,Clean EU,Juliette has a gun,Juliette Has A Gun Not A Perfume (L) EDP 100ml,,New,360,€41.00,lev80.19,lev110.00,,104.50,,,,,,,,,,,,,,,
Парфюми ,39208,3614273927925.0,CLN,Mugler,Mugler Alien Goddess Supra Florale (L) EDP 60ml,,New_,6,€41.00,lev80.19,lev118.99,,113.04,,,,,,,,,,,,,,,
Парфюми ,40283,8011003889235.0,Clean EU,Versace,Versace Pour Homme (M) Set EDT 100ml + Body Shampoo 150ml + EDT 10ml,,,2,€41.00,lev80.19,lev114.69,,108.96,,,,,,,,,,,,,,,
Парфюми ,41389,8054754400588.0,Clean EU,D&G,D&G Dolce Blue Jasmine (L) Set EDP 75ml + EDP 10ml,,,21,€41.50,lev81.17,lev169.99,,146.10,,,,,,,,,,,,,,,
Парфюми ,38877,3760022733337.0,Clean EU,Juliette has a gun,Juliette Has A Gun Ego Stratis (L) EDP 100ml,,,15,€41.50,lev81.17,lev108.00,,105.52,,,,,,,,,,,,,,,
Парфюми ,34585,3770000002683.0,Clean EU,Juliette has a gun,Juliette Has A Gun Lady Vengeance (U) EDP 100ml,,New,50,€41.50,lev81.17,lev112.50,,106.88,,,,,,,,,,,,,,,
Парфюми ,38881,3770000002331.0,Clean EU,Juliette has a gun,Juliette Has A Gun Magnolia Bliss (L) EDP 100ml,,New,45,€41.50,lev81.17,lev105.80,,105.52,,,,,,,,,,,,,,,
Парфюми ,29440,3760260455770.0,Tester,Montale,Montale Arabians (U) EDP 100ml Tester,,,49,€41.50,lev81.17,lev138.99,,132.04,,,,,,,,,,,,,,,
Парфюми ,40675,3349668617043.0,Deco,Paco Rabanne,Paco Rabanne 1 Million Royal (M) EDP 50ml,,,43,€41.50,lev81.17,lev125.00,,118.75,,,,,,,,,,,,,,,
Парфюми ,40749,3614274085501.0,CLN,Mugler,Mugler Angel Fantasm (L) EDP 50ml,,,24,€41.90,lev81.95,lev145.90,,138.61,,,,,,,,,,,,,,,
Парфюми ,27159,8011003845354.0,CLN,Versace,Versace Eros Flame (M) EDP 100ml,,,87,€41.90,lev81.95,lev104.00,,106.53 ⚠️ Too Low!,,,,,,,,,,,,,,,
Парфюми ,41397,783320421259.0,Deco,Bvlgari,Bvlgari Petits Et Mamans (L) EDT 100ml,,New,360,€42.00,lev82.14,lev108.90,,106.79,,,,,,,,,,,,,,,
Парфюми ,37367,3439600055726.0,Clean EU,Mugler,Mugler A Men (M) EDT 100ml Refillable,,,159,€42.00,lev82.14,lev118.99,,113.04,,,,,,,,,,,,,,,
Парфюми ,41228,8011003891481.0,Tester,Versace,Versace Bright Crystal (L) Parfum 90ml Tester No Cap,,,29,€42.00,lev82.14,lev79.00,,106.79 ⚠️ Too Low!,,,,,,,,,,,,,,,
